MatchID,Sequence,HA,Role,Player,Team,Mediaset,Goal,ISuss,Gazzetta,CDSport,EurosportIT,DataSport,Sky
2018_ITA_Serie_A_1_Chi_Juv,1,1,player,S. Sorrentino,Chievo,7,7,7.5,7,7,7.5,7.5,7
2018_ITA_Serie_A_1_Chi_Juv,2,1,player,F. Cacciatore,Chievo,7,6,7,6.5,6,6.5,6,7
2018_ITA_Serie_A_1_Chi_Juv,3,1,player,M. Bani,Chievo,5,6,5.5,5,5,5,5,6
2018_ITA_Serie_A_1_Chi_Juv,4,1,player,L. Rossettini,Chievo,6.5,6,6.5,6,6,6,5.5,6.5
2018_ITA_Serie_A_1_Chi_Juv,5,1,player,N. Tomović,Chievo,6,5.5,6,6,5.5,5,5.5,6.5
2018_ITA_Serie_A_1_Chi_Juv,6,1,player,P. Hetemaj,Chievo,6,6,6,6,5.5,6,6,6
2018_ITA_Serie_A_1_Chi_Juv,7,1,player,I. Radovanović,Chievo,5.5,6,5.5,6,6,6,6,5.5
2018_ITA_Serie_A_1_Chi_Juv,8,1,player,N. Rigoni,Chievo,6,6,5,5.5,5.5,6,5,5.5
2018_ITA_Serie_A_1_Chi_Juv,9,1,player,E. Giaccherini,Chievo,6.5,7,7.5,7,8,6.5,7,7
2018_ITA_Serie_A_1_Chi_Juv,10,1,player,M. Stępiński,Chievo,6.5,6.5,6.5,6.5,7,6,6.5,6.5
2018_ITA_Serie_A_1_Chi_Juv,11,1,player,F. Depaoli,Chievo,6,5.5,5.5,6,5.5,5,5,6
2018_ITA_Serie_A_1_Chi_Juv,12,1,player,F. Đorđević,Chievo,5,6,5.5,5.5,5.5,5.5,5.5,6
2018_ITA_Serie_A_1_Chi_Juv,13,1,player,J. Obi,Chievo,5.5,,,,5.5,5.5,6,
2018_ITA_Serie_A_1_Chi_Juv,14,1,player,A. Seculin,Chievo,,,,,,,5.5,
2018_ITA_Serie_A_1_Chi_Juv,15,1,coach,Lorenzo D'Anna,Chievo,6,,6,,,6,6,6.5
2018_ITA_Serie_A_1_Chi_Juv,16,2,player,W. Szczęsny,Juventus,5.5,6,6,6,6,6,6,6
2018_ITA_Serie_A_1_Chi_Juv,17,2,player,Alex Sandro,Juventus,6.5,6.5,7,7,7,7,6.5,7
2018_ITA_Serie_A_1_Chi_Juv,18,2,player,G. Chiellini,Juventus,6,6.5,5.5,6.5,6,6,6,6.5
2018_ITA_Serie_A_1_Chi_Juv,19,2,player,L. Bonucci,Juventus,5.5,6,6,6,5.5,6,6,6
2018_ITA_Serie_A_1_Chi_Juv,20,2,player,João Cancelo,Juventus,5,6,5.5,5.5,5,5.5,5,5.5
2018_ITA_Serie_A_1_Chi_Juv,21,2,player,M. Pjanić,Juventus,6,6,6,6.5,7,6,6,6.5
2018_ITA_Serie_A_1_Chi_Juv,22,2,player,S. Khedira,Juventus,6.5,6.5,6.5,6,6,6,7,6
2018_ITA_Serie_A_1_Chi_Juv,23,2,player,Douglas Costa,Juventus,5.5,6.5,7,6,5.5,5.5,6.5,6
2018_ITA_Serie_A_1_Chi_Juv,24,2,player,P. Dybala,Juventus,6,6,6,5,5.5,5.5,6,6.5
2018_ITA_Serie_A_1_Chi_Juv,25,2,player,Juan Cuadrado,Juventus,5,5.5,6.5,6,5,5.5,6,5.5
2018_ITA_Serie_A_1_Chi_Juv,26,2,player,Cristiano Ronaldo,Juventus,6.5,6.5,6,6.5,6.5,6.5,7,6.5
2018_ITA_Serie_A_1_Chi_Juv,27,2,player,E. Can,Juventus,,6,,,6,,6.5,6.5
2018_ITA_Serie_A_1_Chi_Juv,28,2,player,M. Mandžukić,Juventus,6,6.5,7,6.5,6.5,6.5,6.5,6.5
2018_ITA_Serie_A_1_Chi_Juv,29,2,player,F. Bernardeschi,Juventus,7,7,7,7,7,7,7,7
2018_ITA_Serie_A_1_Chi_Juv,30,2,coach,M. Allegri,Juventus,6,,6.5,,,6,7,6.5
