Season,Region,Competition,Round,RoundID
2018,ITA,Serie_A,1,2018_ITA_Serie_A_1
2018,ITA,Serie_A,2,2018_ITA_Serie_A_2
2018,ITA,Serie_A,3,2018_ITA_Serie_A_3
2018,ITA,Serie_A,4,2018_ITA_Serie_A_4
2018,ITA,Serie_A,5,2018_ITA_Serie_A_5
2018,ITA,Serie_A,6,2018_ITA_Serie_A_6
2018,ITA,Serie_A,7,2018_ITA_Serie_A_7
2018,ITA,Serie_A,8,2018_ITA_Serie_A_8
2018,ITA,Serie_A,9,2018_ITA_Serie_A_9
2018,ITA,Serie_A,10,2018_ITA_Serie_A_10
2018,ITA,Serie_A,11,2018_ITA_Serie_A_11
2018,ITA,Serie_A,12,2018_ITA_Serie_A_12
2018,ITA,Serie_A,13,2018_ITA_Serie_A_13
2018,ITA,Serie_A,14,2018_ITA_Serie_A_14
2018,ITA,Serie_A,15,2018_ITA_Serie_A_15
2018,ITA,Serie_A,16,2018_ITA_Serie_A_16
2018,ITA,Serie_A,17,2018_ITA_Serie_A_17
2018,ITA,Serie_A,18,2018_ITA_Serie_A_18
2018,ITA,Serie_A,19,2018_ITA_Serie_A_19
2018,ITA,Serie_A,20,2018_ITA_Serie_A_20
2018,ITA,Serie_A,21,2018_ITA_Serie_A_21
2018,ITA,Serie_A,22,2018_ITA_Serie_A_22
2018,ITA,Serie_A,23,2018_ITA_Serie_A_23
2018,ITA,Serie_A,24,2018_ITA_Serie_A_24
2018,ITA,Serie_A,25,2018_ITA_Serie_A_25
2018,ITA,Serie_A,26,2018_ITA_Serie_A_26
2018,ITA,Serie_A,27,2018_ITA_Serie_A_27
2018,ITA,Serie_A,28,2018_ITA_Serie_A_28
2018,ITA,Serie_A,29,2018_ITA_Serie_A_29
2018,ITA,Serie_A,30,2018_ITA_Serie_A_30
2018,ITA,Serie_A,31,2018_ITA_Serie_A_31
2018,ITA,Serie_A,32,2018_ITA_Serie_A_32
2018,ITA,Serie_A,33,2018_ITA_Serie_A_33
2018,ITA,Serie_A,34,2018_ITA_Serie_A_34
2018,ITA,Serie_A,35,2018_ITA_Serie_A_35
2018,ITA,Serie_A,36,2018_ITA_Serie_A_36
2018,ITA,Serie_A,37,2018_ITA_Serie_A_37
2018,ITA,Serie_A,38,2018_ITA_Serie_A_38
